id,workitem_type,estimate,words,rel,sprint,assigned_to,new,doing,done,actual_work
1020538,Bug,,"apply,button,checking,instead,prompt,system,use",,21,navarrj,2015-10-09 03:30:07.750,2015-10-12 20:19:44.930,2015-10-13 11:21:58.147,0
1021780,Bug,,"accept,apo,characters,code,creating,field,input,parameter,parameters,than,thru",,21,navarrj,2015-10-12 06:59:26.583,2015-10-13 10:53:20.193,2015-10-13 11:22:03.163,0
1039316,Issue,,"analysis,api,apo,calls,disabled,dotrez,have,impact,once,ssl,style,tls,verify,will",,22,olsonju,2015-11-03 21:32:53.880,2015-11-10 23:21:50.343,2015-11-10 23:22:04.420,0
1046926,Bug,,"activate,contents,deactivate,import,outdated",,24,vitalim,2015-11-13 08:59:57.790,2015-11-23 03:06:37.813,2015-11-23 03:23:47.367,0
1048006,Bug,,"added,experiment,grid,groups,modified,reflected",,24,delossj,2015-11-16 06:36:06.413,2015-12-02 08:58:08.207,2015-12-02 08:58:51.763,0
1048146,Bug,,"followed,numeric,precision,validation",,23,navarrj,2015-11-16 10:01:22.077,2015-11-23 01:31:14.610,2015-11-25 07:25:02.913,2
1048148,Bug,,"date,listview,sales,set,show,travel",,17,navarrj,2015-11-16 10:09:02.790,2015-11-23 01:31:14.610,2015-11-23 01:32:45.783,0
1048150,Bug,,"changing,prompt,status",,24,vitalim,2015-11-16 10:24:04.123,2015-11-23 03:37:10.783,2015-11-23 10:24:56.140,0
1048155,Bug,,"datagrid,deleting,error,items",,19,navarrj,2015-11-16 10:33:44.837,2015-11-20 06:25:53.160,2015-11-20 06:26:34.047,0
1048613,Bug,,"columns,dates,empty,grid,results,sales,search,times,travel",,24,navarrj,2015-11-17 03:40:06.317,2015-11-23 01:25:56.433,2015-11-23 01:26:06.753,0
1048641,Bug,,"channel,column,displays,grid,search,source,values",,24,delossj,2015-11-17 04:32:51.050,2015-11-23 07:59:24.457,2015-11-23 15:27:23.763,0
1048659,Bug,,"date,range,search,travel,value,within,work",,24,delossj,2015-11-17 04:59:33.980,2015-11-23 07:59:06.527,2015-11-23 09:36:28.990,0
1048663,Bug,,"date,range,sales,search,value,within,work",,24,delossj,2015-11-17 05:04:30.380,2015-11-23 09:37:37.997,2015-11-24 03:01:18.260,0
1048680,Bug,,"activate,buttons,deactivate,delete,disabling,edit,enabling,inconsistent,optimizations,search,selected,used",,24,delossj,2015-11-17 05:46:02.150,2015-11-23 09:37:30.510,2015-11-24 05:53:51.527,0
1050081,Bug,,"cases,depending,fields,filter,letter,parameter,search,values",,24,delossj,2015-11-20 03:10:25.393,2015-11-23 10:08:01.953,2015-11-24 05:54:58.887,0
1061403,Issue,,"1040045,bug,inquiry,regarding",,,delossj,2015-12-10 02:58:55.260,2015-12-10 03:16:26.897,2015-12-15 07:24:20.273,5
1211940,Bug,,"incorrect,saved,table,treatment,treatmentordinal",,,vitalim,2016-01-08 11:30:08.630,2016-01-11 05:51:54.600,2016-01-11 05:52:02.923,0
1212748,Bug,,"doing,get,offer,performance,rules,search",,1,delossj,2016-01-11 10:06:41.113,2016-01-12 09:45:06.480,2016-01-12 09:50:33.933,0
1212749,Bug,,"date,offer,old,picker,retains,value",,1,vitalim,2016-01-11 10:09:29.693,2016-01-12 09:36:57.313,2016-01-12 11:22:07.620,0
1212751,Bug,,"actual,copy,label,offer,rand,seed,showing",,3,navarrj,2016-01-11 10:10:49.710,2016-01-12 05:14:29.383,2016-01-12 05:15:20.430,0
1212756,Bug,,"add,followed,offer,rule,set,wireframes",,1,vitalim,2016-01-11 10:14:56.097,2016-01-12 09:32:04.487,2016-01-12 09:53:55.350,0
1212759,Bug,,"add,dialog,during,edit,setting,validate",,3,delossj,2016-01-11 10:19:03.763,2016-01-12 09:31:01.417,2016-02-12 07:19:13.717,30
1214157,Story,32.0,"ability,list,pricing,receive,request,support",,17,vitalim,2016-01-12 19:58:13.793,2016-08-19 08:01:42.340,2016-09-22 09:44:54.930,34
1217497,Bug,,"add,closed,crashes,edit,offer,open,several,times",,3,navarrj,2016-01-16 08:43:46.027,2016-01-19 07:02:22.060,2016-01-19 09:30:45.330,0
